Problem Instance:		bpp1
199 [1480.0]  [1000.0, 480.0, ] 
200 [1480.0]  [990.0, 490.0, ] 
201 [1480.0]  [860.0, 620.0, ] 
202 [1480.0]  [990.0, 490.0, ] 
203 [1480.0]  [910.0, 570.0, ] 
204 [1480.0]  [700.0, 410.0, 370.0, ] 
205 [1480.0]  [990.0, 490.0, ] 
206 [1480.0]  [550.0, 230.0, 470.0, 230.0, ] 
207 [1480.0]  [1000.0, 480.0, ] 
208 [1480.0]  [990.0, 490.0, ] 
209 [1480.0]  [910.0, 570.0, ] 
210 [1480.0]  [490.0, 560.0, 430.0, ] 
211 [1480.0]  [960.0, 520.0, ] 
212 [1480.0]  [890.0, 390.0, 200.0, ] 
213 [1480.0]  [720.0, 760.0, ] 
214 [1480.0]  [790.0, 420.0, 270.0, ] 
215 [1480.0]  [970.0, 510.0, ] 
216 [1480.0]  [770.0, 710.0, ] 
217 [1480.0]  [1000.0, 480.0, ] 
218 [1480.0]  [840.0, 370.0, 270.0, ] 
219 [1480.0]  [1000.0, 480.0, ] 
220 [1480.0]  [990.0, 490.0, ] 
221 [1480.0]  [450.0, 670.0, 360.0, ] 
222 [1480.0]  [780.0, 400.0, 300.0, ] 
223 [1480.0]  [1000.0, 480.0, ] 
224 [1480.0]  [640.0, 550.0, 290.0, ] 
225 [1480.0]  [980.0, 500.0, ] 
226 [1480.0]  [720.0, 760.0, ] 
227 [1480.0]  [600.0, 880.0, ] 
228 [1480.0]  [970.0, 510.0, ] 
229 [1480.0]  [910.0, 570.0, ] 
230 [1480.0]  [840.0, 640.0, ] 
231 [1480.0]  [760.0, 720.0, ] 
232 [1480.0]  [760.0, 720.0, ] 
233 [1480.0]  [370.0, 370.0, 370.0, 370.0, ] 
234 [1470.0]  [980.0, 490.0, ] 
235 [1470.0]  [580.0, 890.0, ] 
236 [1470.0]  [750.0, 720.0, ] 
237 [1470.0]  [970.0, 500.0, ] 
238 [1470.0]  [580.0, 270.0, 360.0, 260.0, ] 
239 [1470.0]  [770.0, 700.0, ] 
240 [1470.0]  [780.0, 690.0, ] 
241 [1470.0]  [880.0, 590.0, ] 
242 [1470.0]  [840.0, 330.0, 300.0, ] 
243 [1470.0]  [780.0, 690.0, ] 
244 [1470.0]  [970.0, 500.0, ] 
245 [1470.0]  [940.0, 530.0, ] 
246 [1470.0]  [780.0, 690.0, ] 
247 [1470.0]  [660.0, 810.0, ] 
248 [1470.0]  [950.0, 520.0, ] 
249 [1470.0]  [920.0, 240.0, 310.0, ] 
250 [1470.0]  [940.0, 530.0, ] 
251 [1470.0]  [960.0, 510.0, ] 
252 [1470.0]  [820.0, 310.0, 340.0, ] 
253 [1470.0]  [750.0, 720.0, ] 
254 [1470.0]  [990.0, 480.0, ] 
255 [1470.0]  [820.0, 650.0, ] 
256 [1470.0]  [870.0, 600.0, ] 
257 [1470.0]  [800.0, 670.0, ] 
258 [1470.0]  [850.0, 620.0, ] 
259 [1470.0]  [620.0, 540.0, 310.0, ] 
260 [1470.0]  [590.0, 880.0, ] 
261 [1470.0]  [750.0, 720.0, ] 
262 [1460.0]  [820.0, 640.0, ] 
263 [1460.0]  [970.0, 270.0, 220.0, ] 
264 [1460.0]  [670.0, 790.0, ] 
265 [1460.0]  [760.0, 470.0, 230.0, ] 
266 [1460.0]  [990.0, 470.0, ] 
267 [1460.0]  [950.0, 510.0, ] 
268 [1460.0]  [840.0, 620.0, ] 
269 [1460.0]  [480.0, 980.0, ] 
270 [1460.0]  [840.0, 350.0, 270.0, ] 
271 [1460.0]  [810.0, 650.0, ] 
272 [1460.0]  [660.0, 340.0, 460.0, ] 
273 [1460.0]  [940.0, 260.0, 260.0, ] 
274 [1460.0]  [920.0, 280.0, 260.0, ] 
275 [1460.0]  [850.0, 610.0, ] 
276 [1460.0]  [890.0, 570.0, ] 
277 [1460.0]  [760.0, 450.0, 250.0, ] 
278 [1460.0]  [890.0, 570.0, ] 
279 [1460.0]  [880.0, 580.0, ] 
280 [1460.0]  [610.0, 450.0, 400.0, ] 
281 [1460.0]  [890.0, 570.0, ] 
282 [1460.0]  [950.0, 240.0, 270.0, ] 
283 [1460.0]  [840.0, 620.0, ] 
284 [1460.0]  [1000.0, 460.0, ] 
285 [1460.0]  [980.0, 480.0, ] 
286 [1460.0]  [490.0, 490.0, 480.0, ] 
287 [1460.0]  [370.0, 370.0, 360.0, 360.0, ] 
288 [1450.0]  [630.0, 820.0, ] 
289 [1450.0]  [920.0, 530.0, ] 
290 [1450.0]  [750.0, 700.0, ] 
291 [1450.0]  [710.0, 470.0, 270.0, ] 
292 [1450.0]  [920.0, 230.0, 300.0, ] 
293 [1450.0]  [930.0, 520.0, ] 
294 [1450.0]  [780.0, 670.0, ] 
295 [1450.0]  [720.0, 730.0, ] 
296 [1450.0]  [910.0, 540.0, ] 
297 [1450.0]  [670.0, 780.0, ] 
298 [1450.0]  [980.0, 470.0, ] 
299 [1450.0]  [720.0, 730.0, ] 
300 [1450.0]  [780.0, 320.0, 350.0, ] 
301 [1440.0]  [910.0, 530.0, ] 
302 [1440.0]  [730.0, 710.0, ] 
303 [1440.0]  [820.0, 320.0, 300.0, ] 
304 [1440.0]  [920.0, 520.0, ] 
305 [1440.0]  [740.0, 700.0, ] 
306 [1440.0]  [960.0, 480.0, ] 
307 [1440.0]  [730.0, 710.0, ] 
308 [1440.0]  [630.0, 810.0, ] 
309 [1440.0]  [300.0, 810.0, 330.0, ] 
310 [1440.0]  [890.0, 550.0, ] 
311 [1440.0]  [810.0, 410.0, 220.0, ] 
312 [1440.0]  [790.0, 290.0, 360.0, ] 
313 [1440.0]  [940.0, 500.0, ] 
314 [1440.0]  [870.0, 570.0, ] 
315 [1440.0]  [750.0, 690.0, ] 
316 [1440.0]  [410.0, 590.0, 440.0, ] 
317 [1440.0]  [970.0, 470.0, ] 
318 [1440.0]  [470.0, 440.0, 530.0, ] 
319 [1440.0]  [780.0, 660.0, ] 
320 [1440.0]  [840.0, 600.0, ] 
321 [1440.0]  [840.0, 600.0, ] 
322 [1440.0]  [480.0, 480.0, 480.0, ] 
323 [1440.0]  [260.0, 250.0, 240.0, 240.0, 230.0, 220.0, ] 
324 [1430.0]  [730.0, 700.0, ] 
325 [1430.0]  [830.0, 600.0, ] 
326 [1430.0]  [1000.0, 430.0, ] 
327 [1430.0]  [1000.0, 430.0, ] 
328 [1430.0]  [830.0, 600.0, ] 
329 [1430.0]  [800.0, 630.0, ] 
330 [1430.0]  [690.0, 740.0, ] 
331 [1430.0]  [960.0, 470.0, ] 
332 [1430.0]  [840.0, 590.0, ] 
333 [1430.0]  [860.0, 570.0, ] 
334 [1430.0]  [890.0, 540.0, ] 
335 [1430.0]  [750.0, 680.0, ] 
336 [1430.0]  [970.0, 460.0, ] 
337 [1420.0]  [980.0, 440.0, ] 
338 [1420.0]  [850.0, 570.0, ] 
339 [1420.0]  [980.0, 440.0, ] 
340 [1420.0]  [640.0, 520.0, 260.0, ] 
341 [1420.0]  [1000.0, 420.0, ] 
342 [1420.0]  [1000.0, 420.0, ] 
343 [1420.0]  [850.0, 570.0, ] 
344 [1420.0]  [580.0, 380.0, 460.0, ] 
345 [1420.0]  [980.0, 440.0, ] 
346 [1420.0]  [840.0, 580.0, ] 
347 [1420.0]  [970.0, 450.0, ] 
348 [1420.0]  [550.0, 870.0, ] 
349 [1420.0]  [350.0, 620.0, 450.0, ] 
350 [1420.0]  [960.0, 460.0, ] 
351 [1410.0]  [1000.0, 410.0, ] 
352 [1410.0]  [440.0, 350.0, 330.0, 290.0, ] 
353 [1410.0]  [450.0, 960.0, ] 
354 [1400.0]  [720.0, 400.0, 280.0, ] 
355 [1400.0]  [550.0, 850.0, ] 
356 [1400.0]  [950.0, 450.0, ] 
357 [1400.0]  [600.0, 800.0, ] 
358 [1400.0]  [730.0, 670.0, ] 
359 [1400.0]  [640.0, 410.0, 350.0, ] 
360 [1400.0]  [660.0, 740.0, ] 
361 [1400.0]  [710.0, 690.0, ] 
362 [1400.0]  [470.0, 470.0, 460.0, ] 
363 [1390.0]  [980.0, 410.0, ] 
364 [1390.0]  [840.0, 550.0, ] 
365 [1390.0]  [780.0, 610.0, ] 
366 [1390.0]  [700.0, 690.0, ] 
367 [1390.0]  [420.0, 410.0, 290.0, 270.0, ] 
368 [1390.0]  [320.0, 270.0, 430.0, 370.0, ] 
369 [1390.0]  [510.0, 440.0, 440.0, ] 
370 [1390.0]  [950.0, 440.0, ] 
371 [1390.0]  [830.0, 560.0, ] 
372 [1390.0]  [350.0, 350.0, 350.0, 340.0, ] 
373 [1380.0]  [570.0, 810.0, ] 
374 [1380.0]  [600.0, 780.0, ] 
375 [1380.0]  [950.0, 430.0, ] 
376 [1380.0]  [850.0, 530.0, ] 
377 [1380.0]  [610.0, 350.0, 420.0, ] 
378 [1380.0]  [560.0, 820.0, ] 
379 [1380.0]  [950.0, 430.0, ] 
380 [1380.0]  [470.0, 910.0, ] 
381 [1380.0]  [670.0, 710.0, ] 
382 [1380.0]  [280.0, 280.0, 280.0, 270.0, 270.0, ] 
383 [1370.0]  [650.0, 380.0, 340.0, ] 
384 [1370.0]  [970.0, 400.0, ] 
385 [1370.0]  [780.0, 590.0, ] 
386 [1370.0]  [970.0, 400.0, ] 
387 [1370.0]  [740.0, 630.0, ] 
388 [1370.0]  [920.0, 450.0, ] 
389 [1370.0]  [690.0, 680.0, ] 
390 [1370.0]  [460.0, 460.0, 450.0, ] 
391 [1360.0]  [760.0, 600.0, ] 
392 [1350.0]  [900.0, 450.0, ] 
393 [1350.0]  [870.0, 480.0, ] 
394 [1350.0]  [980.0, 370.0, ] 
395 [1350.0]  [910.0, 440.0, ] 
396 [1350.0]  [560.0, 790.0, ] 
397 [1340.0]  [1000.0, 340.0, ] 
398 [1340.0]  [780.0, 560.0, ] 
399 [1340.0]  [640.0, 700.0, ] 
400 [1340.0]  [960.0, 380.0, ] 
401 [1340.0]  [600.0, 740.0, ] 
402 [1330.0]  [870.0, 460.0, ] 
403 [1330.0]  [450.0, 450.0, 430.0, ] 
404 [1320.0]  [900.0, 420.0, ] 
405 [1320.0]  [500.0, 400.0, 420.0, ] 
406 [1310.0]  [980.0, 330.0, ] 
407 [1310.0]  [800.0, 510.0, ] 
408 [210.0]  [210.0, ] 
409 [0.0]  [] 

