Problem Instance:		bpp2
199 [1480.0]  [700.0, 380.0, 400.0, ] 
200 [1480.0]  [850.0, 410.0, 220.0, ] 
201 [1480.0]  [870.0, 610.0, ] 
202 [1480.0]  [700.0, 780.0, ] 
203 [1480.0]  [840.0, 640.0, ] 
204 [1480.0]  [860.0, 620.0, ] 
205 [1480.0]  [810.0, 670.0, ] 
206 [1480.0]  [550.0, 530.0, 400.0, ] 
207 [1480.0]  [540.0, 630.0, 310.0, ] 
208 [1480.0]  [960.0, 520.0, ] 
209 [1480.0]  [560.0, 400.0, 520.0, ] 
210 [1480.0]  [610.0, 870.0, ] 
211 [1480.0]  [890.0, 590.0, ] 
212 [1480.0]  [870.0, 610.0, ] 
213 [1480.0]  [980.0, 500.0, ] 
214 [1480.0]  [890.0, 590.0, ] 
215 [1480.0]  [610.0, 870.0, ] 
216 [1480.0]  [920.0, 560.0, ] 
217 [1480.0]  [920.0, 560.0, ] 
218 [1480.0]  [400.0, 400.0, 390.0, 290.0, ] 
219 [1480.0]  [370.0, 370.0, 370.0, 370.0, ] 
220 [1470.0]  [610.0, 620.0, 240.0, ] 
221 [1470.0]  [730.0, 740.0, ] 
222 [1470.0]  [990.0, 480.0, ] 
223 [1470.0]  [400.0, 800.0, 270.0, ] 
224 [1470.0]  [780.0, 690.0, ] 
225 [1470.0]  [930.0, 540.0, ] 
226 [1470.0]  [810.0, 660.0, ] 
227 [1470.0]  [900.0, 570.0, ] 
228 [1470.0]  [610.0, 320.0, 540.0, ] 
229 [1470.0]  [730.0, 740.0, ] 
230 [1470.0]  [580.0, 540.0, 350.0, ] 
231 [1470.0]  [650.0, 820.0, ] 
232 [1470.0]  [910.0, 560.0, ] 
233 [1470.0]  [730.0, 740.0, ] 
234 [1470.0]  [990.0, 480.0, ] 
235 [1470.0]  [300.0, 410.0, 450.0, 310.0, ] 
236 [1470.0]  [890.0, 580.0, ] 
237 [1470.0]  [970.0, 500.0, ] 
238 [1470.0]  [990.0, 480.0, ] 
239 [1470.0]  [870.0, 600.0, ] 
240 [1470.0]  [900.0, 570.0, ] 
241 [1470.0]  [810.0, 660.0, ] 
242 [1470.0]  [810.0, 300.0, 360.0, ] 
243 [1470.0]  [810.0, 660.0, ] 
244 [1470.0]  [260.0, 410.0, 300.0, 500.0, ] 
245 [1470.0]  [780.0, 690.0, ] 
246 [1470.0]  [820.0, 650.0, ] 
247 [1460.0]  [820.0, 380.0, 260.0, ] 
248 [1460.0]  [1000.0, 460.0, ] 
249 [1460.0]  [630.0, 510.0, 320.0, ] 
250 [1460.0]  [740.0, 720.0, ] 
251 [1460.0]  [890.0, 570.0, ] 
252 [1460.0]  [830.0, 630.0, ] 
253 [1460.0]  [770.0, 350.0, 340.0, ] 
254 [1460.0]  [890.0, 570.0, ] 
255 [1460.0]  [970.0, 490.0, ] 
256 [1460.0]  [470.0, 990.0, ] 
257 [1460.0]  [1000.0, 460.0, ] 
258 [1460.0]  [910.0, 550.0, ] 
259 [1460.0]  [910.0, 550.0, ] 
260 [1460.0]  [660.0, 800.0, ] 
261 [1460.0]  [280.0, 680.0, 500.0, ] 
262 [1460.0]  [810.0, 650.0, ] 
263 [1460.0]  [800.0, 660.0, ] 
264 [1460.0]  [950.0, 510.0, ] 
265 [1460.0]  [880.0, 290.0, 290.0, ] 
266 [1460.0]  [960.0, 500.0, ] 
267 [1460.0]  [780.0, 680.0, ] 
268 [1460.0]  [920.0, 540.0, ] 
269 [1460.0]  [910.0, 550.0, ] 
270 [1460.0]  [910.0, 550.0, ] 
271 [1460.0]  [910.0, 550.0, ] 
272 [1460.0]  [760.0, 490.0, 210.0, ] 
273 [1450.0]  [820.0, 630.0, ] 
274 [1450.0]  [520.0, 690.0, 240.0, ] 
275 [1450.0]  [860.0, 590.0, ] 
276 [1450.0]  [630.0, 820.0, ] 
277 [1450.0]  [790.0, 660.0, ] 
278 [1450.0]  [740.0, 710.0, ] 
279 [1450.0]  [580.0, 440.0, 430.0, ] 
280 [1450.0]  [950.0, 500.0, ] 
281 [1450.0]  [790.0, 660.0, ] 
282 [1450.0]  [930.0, 520.0, ] 
283 [1450.0]  [960.0, 490.0, ] 
284 [1450.0]  [810.0, 640.0, ] 
285 [1450.0]  [910.0, 540.0, ] 
286 [1450.0]  [810.0, 640.0, ] 
287 [1450.0]  [370.0, 370.0, 360.0, 350.0, ] 
288 [1440.0]  [740.0, 700.0, ] 
289 [1440.0]  [1000.0, 440.0, ] 
290 [1440.0]  [990.0, 450.0, ] 
291 [1440.0]  [970.0, 470.0, ] 
292 [1440.0]  [850.0, 590.0, ] 
293 [1440.0]  [650.0, 790.0, ] 
294 [1440.0]  [720.0, 450.0, 270.0, ] 
295 [1440.0]  [830.0, 610.0, ] 
296 [1440.0]  [720.0, 720.0, ] 
297 [1440.0]  [900.0, 540.0, ] 
298 [1440.0]  [660.0, 780.0, ] 
299 [1440.0]  [920.0, 520.0, ] 
300 [1440.0]  [610.0, 830.0, ] 
301 [1440.0]  [960.0, 480.0, ] 
302 [1440.0]  [990.0, 450.0, ] 
303 [1440.0]  [310.0, 900.0, 230.0, ] 
304 [1440.0]  [760.0, 680.0, ] 
305 [1440.0]  [970.0, 470.0, ] 
306 [1440.0]  [900.0, 540.0, ] 
307 [1440.0]  [900.0, 540.0, ] 
308 [1440.0]  [800.0, 640.0, ] 
309 [1440.0]  [800.0, 640.0, ] 
310 [1440.0]  [320.0, 280.0, 280.0, 280.0, 280.0, ] 
311 [1430.0]  [980.0, 450.0, ] 
312 [1430.0]  [970.0, 460.0, ] 
313 [1430.0]  [840.0, 590.0, ] 
314 [1430.0]  [820.0, 610.0, ] 
315 [1430.0]  [580.0, 450.0, 400.0, ] 
316 [1430.0]  [590.0, 390.0, 450.0, ] 
317 [1430.0]  [910.0, 520.0, ] 
318 [1430.0]  [980.0, 450.0, ] 
319 [1430.0]  [890.0, 540.0, ] 
320 [1430.0]  [690.0, 740.0, ] 
321 [1430.0]  [890.0, 540.0, ] 
322 [1430.0]  [970.0, 460.0, ] 
323 [1430.0]  [690.0, 740.0, ] 
324 [1430.0]  [850.0, 580.0, ] 
325 [1430.0]  [520.0, 600.0, 310.0, ] 
326 [1430.0]  [770.0, 330.0, 330.0, ] 
327 [1430.0]  [900.0, 530.0, ] 
328 [1430.0]  [480.0, 480.0, 470.0, ] 
329 [1420.0]  [990.0, 430.0, ] 
330 [1420.0]  [690.0, 730.0, ] 
331 [1420.0]  [910.0, 510.0, ] 
332 [1420.0]  [520.0, 900.0, ] 
333 [1420.0]  [930.0, 490.0, ] 
334 [1420.0]  [860.0, 560.0, ] 
335 [1420.0]  [970.0, 450.0, ] 
336 [1420.0]  [860.0, 560.0, ] 
337 [1420.0]  [870.0, 550.0, ] 
338 [1420.0]  [660.0, 760.0, ] 
339 [1420.0]  [900.0, 520.0, ] 
340 [1420.0]  [980.0, 440.0, ] 
341 [1420.0]  [910.0, 510.0, ] 
342 [1410.0]  [670.0, 740.0, ] 
343 [1410.0]  [550.0, 420.0, 440.0, ] 
344 [1410.0]  [770.0, 640.0, ] 
345 [1410.0]  [840.0, 570.0, ] 
346 [1410.0]  [920.0, 490.0, ] 
347 [1410.0]  [940.0, 470.0, ] 
348 [1410.0]  [790.0, 620.0, ] 
349 [1410.0]  [960.0, 450.0, ] 
350 [1410.0]  [1000.0, 410.0, ] 
351 [1410.0]  [970.0, 440.0, ] 
352 [1410.0]  [840.0, 320.0, 250.0, ] 
353 [1400.0]  [1000.0, 400.0, ] 
354 [1400.0]  [670.0, 730.0, ] 
355 [1400.0]  [930.0, 470.0, ] 
356 [1400.0]  [300.0, 490.0, 340.0, 270.0, ] 
357 [1400.0]  [750.0, 650.0, ] 
358 [1400.0]  [710.0, 690.0, ] 
359 [1400.0]  [620.0, 780.0, ] 
360 [1400.0]  [640.0, 760.0, ] 
361 [1400.0]  [990.0, 410.0, ] 
362 [1400.0]  [640.0, 760.0, ] 
363 [1400.0]  [800.0, 600.0, ] 
364 [1400.0]  [780.0, 620.0, ] 
365 [1390.0]  [700.0, 400.0, 290.0, ] 
366 [1390.0]  [600.0, 790.0, ] 
367 [1390.0]  [880.0, 510.0, ] 
368 [1390.0]  [960.0, 430.0, ] 
369 [1390.0]  [670.0, 720.0, ] 
370 [1390.0]  [610.0, 780.0, ] 
371 [1390.0]  [780.0, 610.0, ] 
372 [1390.0]  [350.0, 350.0, 350.0, 340.0, ] 
373 [1380.0]  [980.0, 400.0, ] 
374 [1380.0]  [780.0, 600.0, ] 
375 [1380.0]  [890.0, 490.0, ] 
376 [1380.0]  [530.0, 850.0, ] 
377 [1380.0]  [990.0, 390.0, ] 
378 [1380.0]  [730.0, 650.0, ] 
379 [1380.0]  [970.0, 410.0, ] 
380 [1380.0]  [460.0, 460.0, 460.0, ] 
381 [1370.0]  [770.0, 600.0, ] 
382 [1370.0]  [950.0, 420.0, ] 
383 [1370.0]  [930.0, 440.0, ] 
384 [1370.0]  [1000.0, 370.0, ] 
385 [1370.0]  [850.0, 520.0, ] 
386 [1370.0]  [430.0, 580.0, 360.0, ] 
387 [1360.0]  [770.0, 590.0, ] 
388 [1360.0]  [1000.0, 360.0, ] 
389 [1360.0]  [760.0, 600.0, ] 
390 [1360.0]  [950.0, 410.0, ] 
391 [1350.0]  [480.0, 870.0, ] 
392 [1350.0]  [990.0, 360.0, ] 
393 [1350.0]  [920.0, 430.0, ] 
394 [1350.0]  [630.0, 720.0, ] 
395 [1350.0]  [880.0, 470.0, ] 
396 [1350.0]  [930.0, 420.0, ] 
397 [1350.0]  [450.0, 450.0, 450.0, ] 
398 [1340.0]  [990.0, 350.0, ] 
399 [1340.0]  [520.0, 820.0, ] 
400 [1340.0]  [880.0, 460.0, ] 
401 [1340.0]  [960.0, 380.0, ] 
402 [1330.0]  [800.0, 530.0, ] 
403 [1330.0]  [930.0, 400.0, ] 
404 [1330.0]  [900.0, 430.0, ] 
405 [1330.0]  [970.0, 360.0, ] 
406 [1330.0]  [950.0, 380.0, ] 
407 [1330.0]  [450.0, 440.0, 440.0, ] 
408 [1320.0]  [940.0, 380.0, ] 
409 [1320.0]  [590.0, 730.0, ] 
410 [1320.0]  [780.0, 540.0, ] 
411 [1310.0]  [390.0, 450.0, 470.0, ] 
412 [1310.0]  [730.0, 580.0, ] 
413 [1310.0]  [430.0, 880.0, ] 
414 [1310.0]  [770.0, 540.0, ] 
415 [1300.0]  [330.0, 330.0, 320.0, 320.0, ] 
416 [1010.0]  [270.0, 270.0, 260.0, 210.0, ] 
417 [0.0]  [] 

